Vendor,Network / Site,VendorNetworkID,Datasource,Mediaplan,Campaign Mp Label,Campaign upper,Campaign Name
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPM_Evening Me,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPM_EVENINGME
Google,Google - Reserva,GOOGLE_GOOGLE - RESERVA,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Google - Reserva_Evening Me_CPM-Google - Reserva,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GOOGLE-RESERVA_EVENINGME_CPM-GOOGLE-RESERVA,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GOOGLE-RESERVA_EVENINGME_CPM-GOOGLE-RESERVA
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Reach_CPM_Evening Me,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME
Traditional Display Media,Spotify-Audio ad,TRADITIONAL DISPLAY MEDIA_SPOTIFY-AUDIO AD,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMCO_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Spotify-Audio ad,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-AUDIOAD,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-SPOTIFY-AUDIOAD
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMCO_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banners,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNERS,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNERS
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Website Clicks_CPC_Evening Me,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME
Traditional Display Media,Xaxis - Video,TRADITIONAL DISPLAY MEDIA_XAXIS - VIDEO,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMCO_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPV-Xaxis - Video,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPV-XAXIS-VIDEO,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPV-XAXIS-VIDEO
Google,SEM,GOOGLE_SEM,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_COL_Kelloggs_Pringles_Seasonal_Google_SEM_Promo Xbox_Affinity Audience_CPC_Evening Me,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_SEM_PROMOXBOX_AFFINITYAUDIENCE_CPC_EVENINGME,MCMMIA_2021_COL_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_SEM_PROMOXBOX_AFFINITYAUDIENCE_CPC_EVENINGME
Traditional Display Media,Tap Tap-Standard Banner,TRADITIONAL DISPLAY MEDIA_TAP TAP-STANDARD BANNER,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMCO_2021_COL_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPC-Tap Tap-Standard Banner,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPC-TAPTAP-STANDARDBANNER,MCMCO_2021_COL_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPC-TAPTAP-STANDARDBANNER
Traditional Display Media,Xaxis Pre-Roll,TRADITIONAL DISPLAY MEDIA_XAXIS PRE-ROLL,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPCV-Xaxis Pre-Roll,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPCV-XAXISPRE-ROLL,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPCV-XAXISPRE-ROLL
Google,Youtube,GOOGLE_YOUTUBE,Google Adwords,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Google_Youtube_Promo Xbox_Affinity Audiences_CPV_Evening Me,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_GOOGLE_YOUTUBE_PROMOXBOX_AFFINITYAUDIENCES_CPV_EVENINGME
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Reach_CPM_Evening Me,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Website Clicks_CPC_Evening Me,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_WEBSITECLICKS_CPC_EVENINGME
Traditional Display Media,Cornershop,TRADITIONAL DISPLAY MEDIA_CORNERSHOP,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Cornershop_Evening Me_Fixed-Cornershop,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_CORNERSHOP_EVENINGME_FIXED-CORNERSHOP,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_CORNERSHOP_EVENINGME_FIXED-CORNERSHOP
Traditional Display Media,Twitter,TRADITIONAL DISPLAY MEDIA_TWITTER,Twitter,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Twitter_Twitter_Video Views_CPV_Evening Me,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_TWITTER_TWITTER_VIDEOVIEWS_CPV_EVENINGME,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_TWITTER_TWITTER_VIDEOVIEWS_CPV_EVENINGME
Traditional Display Media,Gameloft,TRADITIONAL DISPLAY MEDIA_GAMELOFT,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Gameloft_Evening Me_CPM-Gameloft,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GAMELOFT_EVENINGME_CPM-GAMELOFT,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_GAMELOFT_EVENINGME_CPM-GAMELOFT
Traditional Display Media,Rappi,TRADITIONAL DISPLAY MEDIA_RAPPI,Other Channels,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMX_2021_MEX_Kelloggs_Pringles_Seasonal_Promo Xbox_Rappi_Evening Me_Fixed-Rappi,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_RAPPI_EVENINGME_FIXED-RAPPI,MCMMX_2021_MEX_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_RAPPI_EVENINGME_FIXED-RAPPI
Facebook,Facebook and Instagram,FACEBOOK_FACEBOOK AND INSTAGRAM,Facebook Ads Insights,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Facebook_Facebook and Instagram_Reach_CPM_Evening Me,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_FACEBOOK_FACEBOOKANDINSTAGRAM_REACH_CPM_EVENINGME
Traditional Display Media,Xaxis - Standard Banners,TRADITIONAL DISPLAY MEDIA_XAXIS - STANDARD BANNERS,Sizmek Sas,2021_ktbo_kube_Adverity_Mediaplan_Abril-PromoXbox,MCMMIA_2021_ARG_Kelloggs_Pringles_Seasonal_Promo Xbox_Sizmek_Evening Me_CPM-Xaxis - Standard Banners,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNERS,MCMMIA_2021_ARG_KELLOGGS_PRINGLES_SEASONAL_PROMOXBOX_SIZMEK_EVENINGME_CPM-XAXIS-STANDARDBANNERS
